"","id","Human","AI","HumanAI"
"13","i5b85","AdaptorBrief/Evolved FSM 16 Noise 05/Grofman/Harrington/Joss: 0.9/More Tideman and Chieruzzi(0.9)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","TF3/NMWE Deterministic: 144 players(1)"
"14","k1o66","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5 Noise 05/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/Math Constant Hunter/Mikkelson/Nydegger/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","Math Constant Hunter/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"15","n1i23","EvolvedLookerUp1_1_1/Forgetful Grudger/Forgiver/Grudger/Hard Tit For Tat/Inverse Punisher/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/Michaelos: (D,)/Prober 3/PSO Gambler 1_1_1/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/Tricky Level Punisher/Winner21/Nice Meta Winner Ensemble: 209 players(0.9)","AdaptorLong(0.9)","TF3/NMWE Deterministic: 144 players(1)"
"16","nab21","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"17","oez14","Aggravater/Better and Better/Bush Mosteller: 0.5, 0.5, 3.0, 0.5/Defector(1)","Aggravater/Better and Better/Defector/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/UsuallyDefects(1)","Aggravater/Better and Better/Defector/Fortress3/Fortress4/Tricky Defector(1)"
"18","p8v34","unk","SolutionB5/Suspicious Tit For Tat(1)","Gradual Killer: (D, D, D, D, D, C, C)(0.9)"
"19","qs924","AdaptorBrief/Evolved FSM 16 Noise 05/Grofman/Harrington/Joss: 0.9/More Tideman and Chieruzzi(0.9)","Adaptive Tit For Tat: 0.5/Borufsen/Calculator/Contrite Tit For Tat/Doubler/DoubleResurrection/Eatherley/Forgiving Tit For Tat/Graaskamp: 0.05/GraaskampKatzen/Harrington/Inverse/Naive Prober: 0.1/Omega TFT: 3, 8/Remorseful Prober: 0.1/Resurrection/Shubik/Tideman and Chieruzzi/Tit For Tat/Tranquilizer/Worse and Worse 2/ZD-GTFT-2: 0.25, 0.5/Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15/Meta Majority Memory One: 34 players/Meta Majority Long Memory: 131 players(1)","Leyvraz/Thumper/Two Tits For Tat(1)"
"20","rbq81","AdaptorLong/Evolved HMM 5/General Soft Grudger: n=1,d=4,c=2/Soft Grudger(0.9)","Delayed AON1/MoreGrofman(0.9)","ZD-Extortion: 0.2, 0.1, 1/Meta Winner Memory One: 34 players/Meta Winner Finite Memory: 78 players/Meta Winner Stochastic: 65 players/NMWE Finite Memory: 78 players/NMWE Memory One: 34 players(0.9)"
"21","s4441","BackStabber: (D, D)/DoubleCrosser: (D, D)/Fool Me Once/Forgetful Fool Me Once: 0.05/Stalker: (D,)/Stein and Rapoport: 0.05: (D, D)/WmAdams/NMWE Long Memory: 131 players(0.9)","MoreGrofman(1)","unk"
"22","snd43","Prober 3(1)","AdaptorBrief/Aggravater/Better and Better/Defector/Gradual Killer: (D, D, D, D, D, C, C)/Hard Go By Majority/Hard Go By Majority: 10/Hard Go By Majority: 20/Hard Go By Majority: 40/Hard Go By Majority: 5/Inverse Punisher/Thumper/Two Tits For Tat/UsuallyDefects/Winner21/Meta Majority Finite Memory: 78 players/NMWE Stochastic: 65 players(0.9)","UsuallyDefects(1)"
"23","txk36","CollectiveStrategy/Handshake/UsuallyDefects(0.9)","Bush Mosteller: 0.5, 0.5, 3.0, 0.5/CollectiveStrategy/Evolved ANN 5/Forgetful Grudger/Forgiver/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grudger/Handshake/Hard Tit For Tat/Kluepfel/Limited Retaliate: 0.1, 20/Limited Retaliate 2: 0.08, 15/Limited Retaliate 3: 0.05, 20/MEM2/Michaelos: (D,)/Punisher/Retaliate: 0.1/Retaliate 2: 0.08/Retaliate 3: 0.05/RichardHufford/Spiteful Tit For Tat/TF2/Tricky Level Punisher/NMWE Long Memory: 131 players(1)","unk"
"24","v6i85","Eatherley/Tit For 2 Tats/VeryBad(1)","MoreGrofman(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
"25","w9c21","Hard Go By Majority: 5/PSO Gambler 2_2_2/NMWE Finite Memory: 78 players(0.9)","Fortress4/Getzler(0.9)","Cycler DDC(0.9)"
"26","yda14","PSO Gambler Mem1/Revised Downing: True(1)","EasyGo/Fool Me Forever/Mikkelson/WmAdams(0.9)","EasyGo/Fool Me Forever/SolutionB1(1)"
"27","yyj35","AdaptorBrief/Fool Me Once/Forgetful Fool Me Once: 0.05/Hard Tit For 2 Tats/Joss: 0.9/More Tideman and Chieruzzi/Slow Tit For Two Tats 2/Stalker: (D,)/Stein and Rapoport: 0.05: (D, D)(0.9)","EvolvedLookerUp2_2_2/Fool Me Once/Forgetful Fool Me Once: 0.05/Once Bitten/PSO Gambler 1_1_1/Revised Downing: True/TF3/ZD-Extort-2 v2: 0.125, 0.5, 1/ZD-Mischief: 0.1, 0.0, 1(1)","Adaptive Tit For Tat: 0.5/AdaptorBrief/Borufsen/Calculator/Cave/Contrite Tit For Tat/Doubler/DoubleResurrection/Eatherley/Firm But Fair/Forgiving Tit For Tat/Graaskamp: 0.05/GraaskampKatzen/Grofman/Harrington/Inverse/Naive Prober: 0.1/MoreGrofman/Omega TFT: 3, 8/Remorseful Prober: 0.1/Resurrection/Sneaky Tit For Tat/Spiteful Tit For Tat/Tit For Tat/Weiner/Worse and Worse 2/ZD-GTFT-2: 0.25, 0.5/Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15/Meta Majority: 209 players/Meta Majority Long Memory: 131 players/Meta Mixer: 209 players(1)"
"28","zxq33","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5 Noise 05/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/Math Constant Hunter/Mikkelson/Nydegger/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/Meta Hunter: 6 players/Meta Hunter Aggressive: 7 players(1)","ALLCorALLD/Alternator Hunter/Champion/Cooperator/Cooperator Hunter/Cycle Hunter/Davis: 10/Defector Hunter/Eventual Cycle Hunter/Grumpy: Nice, 10, -10/Hesitant QLearner/Level Punisher/$\pi$/Random Hunter/ShortMem/Tricky Cooperator/Tullock: 11/White/Worse and Worse/ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1/$e$(1)","ALLCorALLD/Alternator Hunter/Black/Champion/Cooperator/Cooperator Hunter/Davis: 10/DBS: 0.75, 3, 4, 3, 5/Defector Hunter/Eventual Cycle Hunter/Evolved ANN 5/Soft Go By Majority/Soft Go By Majority: 10/Soft Go By Majority: 20/Soft Go By Majority: 40/Soft Go By Majority: 5/Grumpy: Nice, 10, -10/Hard Tit For 2 Tats/Hesitant QLearner/Level Punisher/Mikkelson/N Tit(s) For M Tat(s): 3, 2/Once Bitten/PSO Gambler 2_2_2/PSO Gambler Mem1/Random Hunter/ShortMem/Slow Tit For Two Tats 2/Tit For 2 Tats/Tricky Cooperator/Tullock: 11/VeryBad/White/WmAdams/Worse and Worse/Yamachi/ZD-Extort-2: 0.1111111111111111, 0.5(1)"
